job_name,first,second,first-second,third
采购/贸易-采购-买手,采购/贸易,采购,采购/贸易-采购,买手
生产制造-技工/普工-折弯工,生产制造,技工/普工,生产制造-技工/普工,折弯工
医疗健康-其他医疗健康职位-医学编辑,医疗健康,其他医疗健康职位,医疗健康-其他医疗健康职位,医学编辑
人力/财务/行政-财务-审计,人力/财务/行政,财务,人力/财务/行政-财务,审计
供应链/物流-物流-供应链经理,供应链/物流,物流,供应链/物流-物流,供应链经理
生产制造-技工/普工-注塑工,生产制造,技工/普工,生产制造-技工/普工,注塑工
技术-测试-功能测试,技术,测试,技术-测试,功能测试
销售-服务业销售-旅游顾问,销售,服务业销售,销售-服务业销售,旅游顾问
人力/财务/行政-行政-行政专员/助理,人力/财务/行政,行政,人力/财务/行政-行政,行政专员/助理
设计-视觉/交互设计-广告设计,设计,视觉/交互设计,设计-视觉/交互设计,广告设计
服务业-运动健身-救生员,服务业,运动健身,服务业-运动健身,救生员
传媒-影视媒体-经纪人/星探,传媒,影视媒体,传媒-影视媒体,经纪人/星探
服务业-餐饮-后厨,服务业,餐饮,服务业-餐饮,后厨
生产制造-服装/纺织/皮革-面料辅料开发,生产制造,服装/纺织/皮革,生产制造-服装/纺织/皮革,面料辅料开发
生产制造-生产营运-生产总监,生产制造,生产营运,生产制造-生产营运,生产总监
设计-视觉/交互设计-3D设计师,设计,视觉/交互设计,设计-视觉/交互设计,3D设计师
医疗健康-医生/医技-内科医生,医疗健康,医生/医技,医疗健康-医生/医技,内科医生
采购/贸易-进出口贸易-单证员,采购/贸易,进出口贸易,采购/贸易-进出口贸易,单证员
医疗健康-健康整形-康复治疗师,医疗健康,健康整形,医疗健康-健康整形,康复治疗师
传媒-采编/写作/出版-记者/采编,传媒,采编/写作/出版,传媒-采编/写作/出版,记者/采编
设计-视觉/交互设计-设计师助理,设计,视觉/交互设计,设计-视觉/交互设计,设计师助理
咨询/翻译/法律-咨询/调研-猎头顾问,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,猎头顾问
技术-运维/技术支持-网络工程师,技术,运维/技术支持,技术-运维/技术支持,网络工程师
金融-证券/基金/期货-量化研究员,金融,证券/基金/期货,金融-证券/基金/期货,量化研究员
销售-外贸销售-外贸业务员,销售,外贸销售,销售-外贸销售,外贸业务员
技术-电子/半导体-电气工程师,技术,电子/半导体,技术-电子/半导体,电气工程师
生产制造-机械设计/制造-机械结构工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,机械结构工程师
供应链/物流-交通/运输-配送员,供应链/物流,交通/运输,供应链/物流-交通/运输,配送员
运营-运营-运营助理/专员,运营,运营,运营-运营,运营助理/专员
咨询/翻译/法律-咨询/调研-知识产权/专利/商标代理人,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,知识产权/专利/商标代理人
服务业-安保/家政/维修-保洁经理,服务业,安保/家政/维修,服务业-安保/家政/维修,保洁经理
传媒-影视媒体-制片人,传媒,影视媒体,传媒-影视媒体,制片人
运营-编辑-文案编辑,运营,编辑,运营-编辑,文案编辑
生产制造-技工/普工-空调工,生产制造,技工/普工,生产制造-技工/普工,空调工
设计-用户研究-用户研究员,设计,用户研究,设计-用户研究,用户研究员
运营-运营-商家运营,运营,运营,运营-运营,商家运营
产品-产品经理-游戏策划,产品,产品经理,产品-产品经理,游戏策划
产品-产品经理-产品助理,产品,产品经理,产品-产品经理,产品助理
技术-销售技术支持-售前技术支持,技术,销售技术支持,技术-销售技术支持,售前技术支持
生产制造-技工/普工-样衣工,生产制造,技工/普工,生产制造-技工/普工,样衣工
技术-人工智能-数据挖掘,技术,人工智能,技术-人工智能,数据挖掘
教育培训-特长培训-古筝教师,教育培训,特长培训,教育培训-特长培训,古筝教师
技术-人工智能-算法研究员,技术,人工智能,技术-人工智能,算法研究员
销售-课程销售-留学顾问,销售,课程销售,销售-课程销售,留学顾问
服务业-餐饮-配菜打荷,服务业,餐饮,服务业-餐饮,配菜打荷
服务业-宠物服务-宠物美容,服务业,宠物服务,服务业-宠物服务,宠物美容
服务业-餐饮-日料厨师,服务业,餐饮,服务业-餐饮,日料厨师
技术-高端技术职位-技术经理,技术,高端技术职位,技术-高端技术职位,技术经理
房地产/建筑-建筑/规划设计-建筑设计师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,建筑设计师
运营-运营-活动运营,运营,运营,运营-运营,活动运营
教育培训-教师-文科教师,教育培训,教师,教育培训-教师,文科教师
技术-硬件开发-FPGA开发,技术,硬件开发,技术-硬件开发,FPGA开发
技术-硬件开发-光学工程师,技术,硬件开发,技术-硬件开发,光学工程师
生产制造-机械设计/制造-焊接工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,焊接工程师
技术-通信-通信技术工程师,技术,通信,技术-通信,通信技术工程师
技术-销售技术支持-售后技术支持,技术,销售技术支持,技术-销售技术支持,售后技术支持
技术-后端开发-GIS工程师,技术,后端开发,技术-后端开发,GIS工程师
销售-外贸销售-外贸经理,销售,外贸销售,销售-外贸销售,外贸经理
传媒-影视媒体-艺人助理,传媒,影视媒体,传媒-影视媒体,艺人助理
供应链/物流-物流-配送站长,供应链/物流,物流,供应链/物流-物流,配送站长
服务业-餐饮-餐饮学徒,服务业,餐饮,服务业-餐饮,餐饮学徒
服务业-婚礼/花艺-婚礼策划,服务业,婚礼/花艺,服务业-婚礼/花艺,婚礼策划
服务业-餐饮-西餐厨师,服务业,餐饮,服务业-餐饮,西餐厨师
咨询/翻译/法律-翻译-日语翻译,咨询/翻译/法律,翻译,咨询/翻译/法律-翻译,日语翻译
咨询/翻译/法律-翻译-英语翻译,咨询/翻译/法律,翻译,咨询/翻译/法律-翻译,英语翻译
技术-前端/移动开发-U3D,技术,前端/移动开发,技术-前端/移动开发,U3D
金融-投融资-投资助理,金融,投融资,金融-投融资,投资助理
教育培训-特长培训-乐高教师,教育培训,特长培训,教育培训-特长培训,乐高教师
服务业-零售-督导/巡店,服务业,零售,服务业-零售,督导/巡店
服务业-安保/家政/维修-手机维修,服务业,安保/家政/维修,服务业-安保/家政/维修,手机维修
医疗健康-护士/护理-护士长,医疗健康,护士/护理,医疗健康-护士/护理,护士长
供应链/物流-物流-调度员,供应链/物流,物流,供应链/物流-物流,调度员
技术-人工智能-图像算法,技术,人工智能,技术-人工智能,图像算法
医疗健康-医生/医技-其他医生职位,医疗健康,医生/医技,医疗健康-医生/医技,其他医生职位
技术-后端开发-C#,技术,后端开发,技术-后端开发,C#
教育培训-教育行政-教务管理,教育培训,教育行政,教育培训-教育行政,教务管理
设计-游戏设计-游戏角色,设计,游戏设计,设计-游戏设计,游戏角色
金融-银行-银行大堂经理,金融,银行,金融-银行,银行大堂经理
生产制造-机械设计/制造-材料工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,材料工程师
服务业-汽车服务-4S店店长/维修站长,服务业,汽车服务,服务业-汽车服务,4S店店长/维修站长
人力/财务/行政-人力资源-人力资源总监,人力/财务/行政,人力资源,人力/财务/行政-人力资源,人力资源总监
技术-人工智能-机器学习,技术,人工智能,技术-人工智能,机器学习
市场-公关媒介-媒介经理,市场,公关媒介,市场-公关媒介,媒介经理
销售-销售-网络销售,销售,销售,销售-销售,网络销售
医疗健康-药店-药店店长,医疗健康,药店,医疗健康-药店,药店店长
医疗健康-临床试验-临床医学经理/专员,医疗健康,临床试验,医疗健康-临床试验,临床医学经理/专员
采购/贸易-进出口贸易-报关/报检员,采购/贸易,进出口贸易,采购/贸易-进出口贸易,报关/报检员
生产制造-机械设计/制造-工业工程师(IE),生产制造,机械设计/制造,生产制造-机械设计/制造,工业工程师(IE)
生产制造-汽车制造-汽车项目管理,生产制造,汽车制造,生产制造-汽车制造,汽车项目管理
采购/贸易-采购-采购专员/助理,采购/贸易,采购,采购/贸易-采购,采购专员/助理
金融-投融资-投资者关系/证券事务代表,金融,投融资,金融-投融资,投资者关系/证券事务代表
设计-非视觉设计-工业设计,设计,非视觉设计,设计-非视觉设计,工业设计
医疗健康-医生/医技-妇产科医生,医疗健康,医生/医技,医疗健康-医生/医技,妇产科医生
设计-视觉/交互设计-插画师,设计,视觉/交互设计,设计-视觉/交互设计,插画师
农/林/牧/渔-畜牧/渔业-禽畜/水产养殖技术员,农/林/牧/渔,畜牧/渔业,农/林/牧/渔-畜牧/渔业,禽畜/水产养殖技术员
技术-后端开发-语音/视频/图形开发,技术,后端开发,技术-后端开发,语音/视频/图形开发
医疗健康-医生/医技-全科医生,医疗健康,医生/医技,医疗健康-医生/医技,全科医生
教育培训-特长培训-足球教练,教育培训,特长培训,教育培训-特长培训,足球教练
技术-硬件开发-自动化,技术,硬件开发,技术-硬件开发,自动化
房地产/建筑-建筑/规划设计-给排水工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,给排水工程师
生产制造-技工/普工-车工,生产制造,技工/普工,生产制造-技工/普工,车工
技术-人工智能-自动驾驶系统工程师,技术,人工智能,技术-人工智能,自动驾驶系统工程师
销售-销售-电话销售,销售,销售,销售-销售,电话销售
设计-非视觉设计-展览/展示设计,设计,非视觉设计,设计-非视觉设计,展览/展示设计
运营-运营-亚马逊运营,运营,运营,运营-运营,亚马逊运营
人力/财务/行政-人力资源-培训,人力/财务/行政,人力资源,人力/财务/行政-人力资源,培训
运营-运营-数据/策略运营,运营,运营,运营-运营,数据/策略运营
销售-房地产销售/招商-物业招商管理,销售,房地产销售/招商,销售-房地产销售/招商,物业招商管理
运营-运营-跨境电商运营,运营,运营,运营-运营,跨境电商运营
人力/财务/行政-人力资源-人力资源专员/助理,人力/财务/行政,人力资源,人力/财务/行政-人力资源,人力资源专员/助理
服务业-美容保健-美容店长,服务业,美容保健,服务业-美容保健,美容店长
供应链/物流-仓储-仓库经理,供应链/物流,仓储,供应链/物流-仓储,仓库经理
市场-市场/营销-市场顾问,市场,市场/营销,市场-市场/营销,市场顾问
设计-视觉/交互设计-交互设计师,设计,视觉/交互设计,设计-视觉/交互设计,交互设计师
金融-投融资-融资,金融,投融资,金融-投融资,融资
设计-非视觉设计-珠宝设计,设计,非视觉设计,设计-非视觉设计,珠宝设计
生产制造-技工/普工-锅炉工,生产制造,技工/普工,生产制造-技工/普工,锅炉工
人力/财务/行政-行政-经理助理,人力/财务/行政,行政,人力/财务/行政-行政,经理助理
生产制造-机械设计/制造-模具工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,模具工程师
生产制造-质量安全-质量管理/测试,生产制造,质量安全,生产制造-质量安全,质量管理/测试
服务业-餐饮-厨师长,服务业,餐饮,服务业-餐饮,厨师长
传媒-影视媒体-编剧,传媒,影视媒体,传媒-影视媒体,编剧
技术-硬件开发-驱动开发,技术,硬件开发,技术-硬件开发,驱动开发
房地产/建筑-建筑/规划设计-消防工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,消防工程师
生产制造-机械设计/制造-机械设备工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,机械设备工程师
教育培训-特长培训-篮球教练,教育培训,特长培训,教育培训-特长培训,篮球教练
市场-公关媒介-品牌公关,市场,公关媒介,市场-公关媒介,品牌公关
市场-市场/营销-商业数据分析,市场,市场/营销,市场-市场/营销,商业数据分析
产品-产品经理-产品经理,产品,产品经理,产品-产品经理,产品经理
教育培训-教师-助教,教育培训,教师,教育培训-教师,助教
人力/财务/行政-法务-法务经理/主管,人力/财务/行政,法务,人力/财务/行政-法务,法务经理/主管
咨询/翻译/法律-律师-专利律师,咨询/翻译/法律,律师,咨询/翻译/法律-律师,专利律师
服务业-汽车服务-加油员,服务业,汽车服务,服务业-汽车服务,加油员
技术-前端/移动开发-前端开发工程师,技术,前端/移动开发,技术-前端/移动开发,前端开发工程师
房地产/建筑-建筑/规划设计-幕墙工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,幕墙工程师
医疗健康-生物制药-医疗产品技术支持,医疗健康,生物制药,医疗健康-生物制药,医疗产品技术支持
设计-游戏设计-系统策划,设计,游戏设计,设计-游戏设计,系统策划
服务业-美容保健-美容师,服务业,美容保健,服务业-美容保健,美容师
高级管理-高级管理职位-董事会秘书,高级管理,高级管理职位,高级管理-高级管理职位,董事会秘书
房地产/建筑-装饰装修-装修项目经理,房地产/建筑,装饰装修,房地产/建筑-装饰装修,装修项目经理
供应链/物流-交通/运输-网约车司机,供应链/物流,交通/运输,供应链/物流-交通/运输,网约车司机
服务业-安保/家政/维修-保洁,服务业,安保/家政/维修,服务业-安保/家政/维修,保洁
人力/财务/行政-法务-律师,人力/财务/行政,法务,人力/财务/行政-法务,律师
技术-测试-测试开发,技术,测试,技术-测试,测试开发
服务业-安保/家政/维修-产后康复师,服务业,安保/家政/维修,服务业-安保/家政/维修,产后康复师
服务业-餐饮-洗碗工,服务业,餐饮,服务业-餐饮,洗碗工
运营-客服-电话客服,运营,客服,运营-客服,电话客服
销售-服务业销售-化妆品导购,销售,服务业销售,销售-服务业销售,化妆品导购
人力/财务/行政-财务-税务,人力/财务/行政,财务,人力/财务/行政-财务,税务
医疗健康-医生/医技-放射科医生,医疗健康,医生/医技,医疗健康-医生/医技,放射科医生
销售-销售管理-销售VP,销售,销售管理,销售-销售管理,销售VP
生产制造-技工/普工-组装工,生产制造,技工/普工,生产制造-技工/普工,组装工
房地产/建筑-建筑/规划设计-土木/土建/结构工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,土木/土建/结构工程师
人力/财务/行政-法务-法律顾问,人力/财务/行政,法务,人力/财务/行政-法务,法律顾问
高级管理-高级管理职位-分公司/代表处负责人,高级管理,高级管理职位,高级管理-高级管理职位,分公司/代表处负责人
房地产/建筑-工程管理-工程造价,房地产/建筑,工程管理,房地产/建筑-工程管理,工程造价
服务业-美容保健-针灸推拿,服务业,美容保健,服务业-美容保健,针灸推拿
销售-汽车销售-汽车销售,销售,汽车销售,销售-汽车销售,汽车销售
房地产/建筑-物业管理-物业工程主管,房地产/建筑,物业管理,房地产/建筑-物业管理,物业工程主管
房地产/建筑-建筑/规划设计-BIM工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,BIM工程师
教育培训-职业培训-拓展培训,教育培训,职业培训,教育培训-职业培训,拓展培训
市场-市场/营销-信息流优化师,市场,市场/营销,市场-市场/营销,信息流优化师
技术-其他技术职位-其他技术职位,技术,其他技术职位,技术-其他技术职位,其他技术职位
生产制造-生产营运-厂长,生产制造,生产营运,生产制造-生产营运,厂长
医疗健康-医生/医技-超声科医生,医疗健康,医生/医技,医疗健康-医生/医技,超声科医生
技术-硬件开发-硬件工程师,技术,硬件开发,技术-硬件开发,硬件工程师
教育培训-教师-就业老师,教育培训,教师,教育培训-教师,就业老师
服务业-安保/家政/维修-保安经理,服务业,安保/家政/维修,服务业-安保/家政/维修,保安经理
房地产/建筑-物业管理-物业管理员,房地产/建筑,物业管理,房地产/建筑-物业管理,物业管理员
生产制造-质量安全-质检员,生产制造,质量安全,生产制造-质量安全,质检员
人力/财务/行政-人力资源-企业文化,人力/财务/行政,人力资源,人力/财务/行政-人力资源,企业文化
房地产/建筑-工程管理-材料员,房地产/建筑,工程管理,房地产/建筑-工程管理,材料员
咨询/翻译/法律-咨询/调研-人力资源咨询顾问,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,人力资源咨询顾问
供应链/物流-交通/运输-代驾司机,供应链/物流,交通/运输,供应链/物流-交通/运输,代驾司机
医疗健康-临床试验-临床协调员,医疗健康,临床试验,医疗健康-临床试验,临床协调员
运营-运营-品类运营,运营,运营,运营-运营,品类运营
销售-医疗销售-口腔咨询师,销售,医疗销售,销售-医疗销售,口腔咨询师
医疗健康-医生/医技-外科医生,医疗健康,医生/医技,医疗健康-医生/医技,外科医生
设计-游戏设计-游戏数值策划,设计,游戏设计,设计-游戏设计,游戏数值策划
生产制造-技工/普工-叉车工,生产制造,技工/普工,生产制造-技工/普工,叉车工
市场-会务会展-会展活动执行,市场,会务会展,市场-会务会展,会展活动执行
服务业-餐饮-面包/烘焙师,服务业,餐饮,服务业-餐饮,面包/烘焙师
销售-销售-BD经理,销售,销售,销售-销售,BD经理
技术-测试-测试工程师,技术,测试,技术-测试,测试工程师
服务业-安保/家政/维修-保姆,服务业,安保/家政/维修,服务业-安保/家政/维修,保姆
传媒-影视媒体-儿童引导师,传媒,影视媒体,传媒-影视媒体,儿童引导师
市场-会务会展-会展活动策划,市场,会务会展,市场-会务会展,会展活动策划
生产制造-新能源-电池工程师,生产制造,新能源,生产制造-新能源,电池工程师
医疗健康-生物制药-药物合成,医疗健康,生物制药,医疗健康-生物制药,药物合成
技术-运维/技术支持-IT技术支持,技术,运维/技术支持,技术-运维/技术支持,IT技术支持
设计-视觉/交互设计-UI设计师,设计,视觉/交互设计,设计-视觉/交互设计,UI设计师
传媒-影视媒体-影视特效,传媒,影视媒体,传媒-影视媒体,影视特效
服务业-餐饮-餐饮店长,服务业,餐饮,服务业-餐饮,餐饮店长
设计-视觉/交互设计-视觉设计师,设计,视觉/交互设计,设计-视觉/交互设计,视觉设计师
设计-非视觉设计-家具设计,设计,非视觉设计,设计-非视觉设计,家具设计
医疗健康-临床试验-临床监查员,医疗健康,临床试验,医疗健康-临床试验,临床监查员
设计-视觉/交互设计-CAD设计/制图,设计,视觉/交互设计,设计-视觉/交互设计,CAD设计/制图
服务业-餐饮-送餐员,服务业,餐饮,服务业-餐饮,送餐员
设计-游戏设计-游戏动作,设计,游戏设计,设计-游戏设计,游戏动作
传媒-影视媒体-剪辑师,传媒,影视媒体,传媒-影视媒体,剪辑师
传媒-影视媒体-中控/场控/助播,传媒,影视媒体,传媒-影视媒体,中控/场控/助播
销售-服务业销售-服装导购,销售,服务业销售,销售-服务业销售,服装导购
产品-产品经理-数据产品经理,产品,产品经理,产品-产品经理,数据产品经理
金融-中后台-风控,金融,中后台,金融-中后台,风控
金融-中后台-催收员,金融,中后台,金融-中后台,催收员
销售-房地产销售/招商-地产中介,销售,房地产销售/招商,销售-房地产销售/招商,地产中介
销售-销售管理-城市经理,销售,销售管理,销售-销售管理,城市经理
运营-客服-售前客服,运营,客服,运营-客服,售前客服
技术-前端/移动开发-UE4,技术,前端/移动开发,技术-前端/移动开发,UE4
房地产/建筑-物业管理-物业经理,房地产/建筑,物业管理,房地产/建筑-物业管理,物业经理
市场-市场/营销-营销主管,市场,市场/营销,市场-市场/营销,营销主管
生产制造-技工/普工-钻工,生产制造,技工/普工,生产制造-技工/普工,钻工
传媒-影视媒体-主持人/DJ,传媒,影视媒体,传媒-影视媒体,主持人/DJ
服务业-汽车服务-汽车维修,服务业,汽车服务,服务业-汽车服务,汽车维修
销售-课程销售-招生顾问,销售,课程销售,销售-课程销售,招生顾问
传媒-影视媒体-主播,传媒,影视媒体,传媒-影视媒体,主播
设计-游戏设计-游戏界面设计师,设计,游戏设计,设计-游戏设计,游戏界面设计师
服务业-美容保健-理疗师,服务业,美容保健,服务业-美容保健,理疗师
医疗健康-健康整形-营养师/健康管理师,医疗健康,健康整形,医疗健康-健康整形,营养师/健康管理师
市场-市场/营销-SEO,市场,市场/营销,市场-市场/营销,SEO
技术-硬件开发-嵌入式,技术,硬件开发,技术-硬件开发,嵌入式
销售-广告/会展销售-会展活动销售,销售,广告/会展销售,销售-广告/会展销售,会展活动销售
生产制造-质量安全-产品认证工程师,生产制造,质量安全,生产制造-质量安全,产品认证工程师
销售-销售管理-团队经理,销售,销售管理,销售-销售管理,团队经理
传媒-影视媒体-灯光师,传媒,影视媒体,传媒-影视媒体,灯光师
旅游-旅游服务-计调,旅游,旅游服务,旅游-旅游服务,计调
生产制造-技工/普工-电工,生产制造,技工/普工,生产制造-技工/普工,电工
传媒-采编/写作/出版-作者/撰稿人,传媒,采编/写作/出版,传媒-采编/写作/出版,作者/撰稿人
技术-项目管理-项目助理,技术,项目管理,技术-项目管理,项目助理
